M,N,K,avg_duration,tile_M,tile_N,tile_K,is_split_k,cta_count,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
19,129280,7168,662.2084,24,512,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,44568674304.0,82432.0,352321536.0,86016.0,1813840.0,944288.4624345744,358906.70049758186,15008.0,1031341.4216451218,120064.0,391993.9313616072,0.0680221041339394,0.6297313,8.257744
20,152064,8192,855.3017999999998,24,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,59793997824.0,110592.0,452984832.0,110592.0,2433408.0,1266836.7104022363,481501.36519451527,19584.0,1345801.5992469392,156672.0,511514.4690688776,0.0706566815190216,0.6515596,8.221485
8,152064,3584,371.617,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.023715585546674,0.2186209,8.218445
7,151936,4096,420.3336000000001,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,9965666304.0,18432.0,75497472.0,18432.0,1216576.0,633351.7181641184,240725.35508343964,9408.0,646512.5329715689,75264.0,245727.53906250003,0.0239622317786181,0.22087516,8.217634
18,152064,8192,853.4843999999999,24,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,59793997824.0,110592.0,452984832.0,110592.0,2433408.0,1266836.7104022363,481501.36519451527,19584.0,1345801.5992469392,156672.0,511514.4690688776,0.0708071370551657,0.6515596,8.20189
20,128256,8192,720.9766000000001,24,512,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,50532974592.0,93463.27272727272,402653184.0,98304.0,2056576.0,1070657.273474974,406937.1645142432,17152.0,1178675.9104515675,137216.0,447993.0644132654,0.0708383970116713,0.6518019,8.20125
17,128256,8192,719.0758,24,512,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,50532974592.0,93463.27272727272,402653184.0,98304.0,2056576.0,1070657.273474974,406937.1645142432,17152.0,1178675.9104515675,137216.0,447993.0644132654,0.0710256507407494,0.6518019,8.176992
7,152064,3584,369.7292,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0238366749342447,0.2186209,8.171616
14,18432,7168,315.1082,16,16,128,1,1152,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4227858432.0,29075.83098591549,33030144.0,32256.0,258272.0,642708.3015441896,97533.98189731612,4032.0,1424772.2625732422,32256.0,216215.83497791848,0.0368353415050769,0.337774,8.169832
6,152064,3584,369.305,8,384,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.023864054789668,0.2186209,8.161093
