attention_type,bs,q_lengths,kv_lengths,nh,nkv,hd,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,xu_all_ops,xu_all_cycle,xu_sm_max_ops,xu_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[13,90,201,5409,4833,2433,1737,1257,18945,11649,8193,8961]",64,8,128,364.6578,NVIDIA RTX A6000,1024,16,128,84,1800,768.0,2700,128,4368629760,50788.57142857143,81100800,79200.0,39987840,29752.85714285714,724000,45250.0,129952.0,290465.3549194336,82621.25651041667,2408.0,452113.15155029297,19264.0,128601.07421874996,0.0773763046227806,0.24697497,2.191868
fa2_paged,8,"[1,1,1,1,1,1,1,1]","[9,117,82,832,453,1353,5985,19329]",128,8,128,170.28993333333335,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,1993998336,27426.25352112676,16220160,31680.0,21586304,9501.014084507042,171040,10690.0,60128.0,165239.623779324,25284.73489449597,488.0,190434.4892464748,3904.0,29140.01778287974,0.0646812141589042,0.2056358,2.1792195
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[736,18561,153,291,118,1137,1353,2001,195,729,6273,537,7713,15105,11649,12288]",24,8,128,393.8719333333334,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,5389418496,113528.36400404447,107053056,207467.16279069768,48950144,33254.17391304348,945184,59074.0,160224.0,445621.5680354093,96000.95099803664,3176.0,812656.3886022214,25408.0,175071.8361420157,0.114379660707422,0.35912678,2.1397781
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[255,75,81,98,3009,1209,921,1137,3489,20481,435,2304,345,4161,12288,2817]",32,4,128,133.27506666666667,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,1857748992,25552.22535211268,15138816,29568.0,20490688,9018.788732394369,161824,10114.0,56112.0,154203.12948219513,23595.94605508179,456.0,177946.98175490266,3648.0,27229.19694465812,0.0769981823988187,0.2400413,2.117493
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[9345,17409,96,85,98,117,111,88,672,297,369,6177,1953,1329,6177,8961]",64,4,128,136.18073333333334,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,1838284800,25284.50704225352,15138816,29568.0,20259200,8916.901408450703,161824,10114.0,55520.0,152576.23590054663,23347.00108672193,456.0,177946.98175490266,3648.0,27229.19694465812,0.0745657645567361,0.23199044,2.111219
fa2_paged,6,"[1,1,1,1,1,1]","[105,512,20097,6561,2817,7329]",40,8,128,104.83386666666668,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,2694709248,13997.617021276596,15138816,14784.0,29132672,9685.063829787234,161824,10114.0,81248.0,101179.05480521066,24356.91378438171,456.0,106758.04955618722,3648.0,25699.94959762057,0.0570606408609384,0.1755061,2.0757816
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[126,453,261,219,81,1449,14337,10113,19329,135,122,18561,3009,1641,4641,4641]",24,8,128,394.29893333333325,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,5393743872,113619.47826086955,109215744,211658.4186046512,48987008,33279.217391304344,963616,60226.0,160352.0,445977.5668914392,96077.644388089,3240.0,829032.335979596,25920.0,178599.73208442406,0.1143474930728465,0.35108334,2.0703194
fa2_paged,4,"[1,1,1,1]","[5,72,537,5121]",6,1,128,23.208533333333328,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,148684800,2045.0704225352115,1081344,2112.0,5777200,2542.781690140845,42016,2626.0,5500.0,15114.720775450409,2312.833320910854,40.0,15609.384364465146,320.0,2388.5260477770275,0.0353884242019417,0.10819038,2.0572245
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[736,18561,153,291,118,1137,1353,2001,195,729,6273,537,7713,15105,11649,12288]",24,8,128,219.94686666666664,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,5467275264,28399.659574468085,35684352,34848.0,52762496,17540.72340425532,336928,21058.0,163296.0,203354.3586730957,48953.65539255608,1064.0,249102.11563110352,8512.0,59966.54906111466,0.0551797206283862,0.16545366,1.9984502
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[82,79,375,177,20097,1641,117,3105,249,12033,345,1305,993,8097,2337,4449]",64,4,128,156.73020000000002,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2004811776,27574.98591549296,16220160,31680.0,21744064,9570.450704225352,171040,10690.0,60464.0,166162.99581215152,25426.027984646164,488.0,190434.4892464748,3904.0,29140.01778287974,0.070658313026631,0.21159123,1.9945694
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[13,46,279,507,44,10881,681,297,125,4641,369,2304,273,399,1209,4833]",128,8,128,146.61513333333335,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,1846935552,25403.49295774648,19464192,38016.0,20332928,8949.352112676057,198688,12418.0,55776.0,153279.7574493676,23454.652964931603,584.0,227897.0117211912,4672.0,34872.48029754461,0.0695849451224937,0.20350727,1.9245877
fa2_paged,1,[1],[177],7,1,128,32.38613333333333,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,12435456,144.57142857142858,540672,528.0,483184,359.5119047619048,21008,1313.0,460.0,1096.5742122517045,314.12383656442904,20.0,4004.8797317018775,160.0,1147.2348813657409,0.0025655124389022,0.0072893635,1.8412824
fa2_paged,2,"[1,1]","[1257,87]",64,4,128,21.7366,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,147062784,2022.7605633802816,1081344,2112.0,5714176,2515.042253521127,42016,2626.0,5440.0,14949.832912445492,2287.602411955463,40.0,15609.384364465146,320.0,2388.5260477770275,0.0373726176086305,0.10614823,1.8402668
fa2_paged,16,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[12,82,22,128,89,50,93,1593,20097,8192,873,7905,237,2721,10881,5409]",32,8,64,177.18960000000007,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2037252096,28021.183098591548,22708224,44352.0,21954944,9663.267605633802,226336,14146.0,60848.0,167218.27813538295,25587.505801960662,676.0,263798.59575946094,5408.0,40366.09020743177,0.0635109915491054,0.1795729,1.82743
