attention_type,bs,q_lengths,kv_lengths,nh,nkv,hd,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,xu_all_ops,xu_all_cycle,xu_sm_max_ops,xu_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
fa2_ragged,2,"[21,37]","[43,153]",7,1,64,30.4514,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,23789568,276.57142857142856,4325376,4224.0,182784,136.0,25728,1608.0,216.0,514.91310836167,147.50162760416669,32.0,6407.807570723005,256.0,1835.5758101851848,0.0052197631925012,0.011100102,1.1265508
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[753,85,74,165,86,80,101,1641,849,777,1113,3105]",128,8,128,32.15586666666666,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,640155648,8804.957746478873,5406720,10560.0,10047872,4422.478873239436,78880,4930.0,20064.0,55138.50138884309,8437.215954682795,168.0,65559.41433075361,1344.0,10031.809400663516,0.1099683502759784,0.23321684,1.1207632
fa2_paged,1,[1],[177],4,2,128,9.361,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,24870912,342.0845070422535,540672,1056.0,966368,425.3380281690141,21008,1313.0,920.0,2528.2805660753406,386.8739373159974,20.0,7804.692182232573,160.0,1194.2630238885138,0.0146761388913094,0.031118436,1.1203414
fa2_paged,1,[1],[369],8,2,128,9.606333333333334,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,50823168,699.0422535211268,540672,1056.0,1974752,869.169014084507,21008,1313.0,1880.0,5166.4863741539575,790.5684806022556,20.0,7804.692182232573,160.0,1194.2630238885138,0.0292244554826876,0.061704185,1.1113883
fa2_paged,1,[1],[825],4,1,128,9.757733333333334,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,56229888,773.4084507042254,540672,1056.0,2184832,961.6338028169014,21008,1313.0,2080.0,5716.112584170335,874.6715104535594,20.0,7804.692182232573,160.0,1194.2630238885138,0.0318317577335931,0.067186005,1.1106594
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[243,159,10497,126,288,459,6561,12033,1536,8577,7617,18432]",64,4,128,200.7563333333333,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2337865728,32155.94366197184,18382848,35904.0,24582592,10819.802816901409,189472,11842.0,70320.0,193248.57544175864,29570.62529571841,552.0,215409.50422961905,4416.0,32961.65945932298,0.0643269050832044,0.13540484,1.1049486
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[25,249,6177,14337,11265,159,14721,3393,2721,1473,4353,7905]",20,4,128,197.84433333333337,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,2383282176,32780.619718309856,18382848,35904.0,24969664,10990.169014084508,189472,11842.0,71664.0,196942.0635730687,30135.797656319173,552.0,215409.50422961905,4416.0,32961.65945932298,0.0665417467136293,0.13996461,1.1034104
fa2_paged,12,"[1,1,1,1,1,1,1,1,1,1,1,1]","[38,21,81,1545,3297,51,1713,14721,1857,14721,333,16384]",8,4,128,143.90246666666664,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,1931280384,26563.605633802817,15138816,29568.0,21117376,9294.61971830986,161824,10114.0,58288.0,160183.06264717333,24510.987019863976,456.0,177946.98175490266,3648.0,27229.19694465812,0.0741343422353006,0.1548382,1.0886163
fa2_paged,2,"[1,1]","[201,102]",7,1,64,9.107266666666668,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,21086208,290.0281690140845,540672,1056.0,819312,360.6126760563381,21008,1313.0,702.0,1929.187997157488,295.2016347780763,18.0,7024.2229640093165,144.0,1074.8367214996624,0.0127894768621625,0.026698884,1.0875657
fa2_ragged,12,"[17,27,66,94,111,119,119,147,147,417,459,777]","[213,36,1905,327,3873,20097,393,189,1425,1233,1329,8961]",10,2,128,2256.827,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,59889156096,1261568.0,1440350208,2791376.372093024,131006208,88998.78260869565,3107328,194208.0,228128.0,634478.9611592635,136686.79442081152,5408.0,1383767.5533881653,43264.0,298107.2071335078,0.2218256969728836,0.4623003,1.08407
