seq,dim,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,fma_all_ops,fma_all_cycle,fma_sm_max_ops,fma_sm_max_cycle,xu_all_ops,xu_all_cycle,xu_sm_max_ops,xu_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
75,128,2.557666666666667,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,6184.40535,0.3264572080869932,82.458738,0.644208890625,375.0000749999999,0.1583615181587837,5.000000999999999,0.3125000624999999,18.75,4.2650658447105245,2.119911245250677,0.25,8.41639660022877,2.0,4.183291523961336,0.0001035820144825,1e-09,0.99989384
72,128,2.5684,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,5937.029136,0.3133989197635135,82.458738,0.644208890625,360.00007199999993,0.1520270574324324,5.000000999999999,0.3125000624999999,18.0,4.094463210922103,2.03511479544065,0.25,8.41639660022877,2.0,4.183291523961336,9.902317983170528e-05,1e-09,0.999889
71,128,2.5684,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,5854.570398,0.3090461569890202,82.458738,0.644208890625,355.00007099999993,0.1499155705236486,5.000000999999999,0.3125000624999999,17.75,4.037595666325963,2.006849312170641,0.25,8.41639660022877,2.0,4.183291523961336,9.764785788959826e-05,1e-09,0.9998874
67,128,2.5748,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,5524.735446,0.2916351058910473,82.458738,0.644208890625,335.00006699999994,0.1414696228885135,5.000000999999999,0.3125000624999999,16.75,3.8101254879414026,1.8937873790906048,0.25,8.41639660022877,2.0,4.183291523961336,9.191752784651762e-05,1e-09,0.99988043
64,128,2.5684,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,5277.359232,0.2785768175675676,82.458738,0.644208890625,320.00006399999995,0.1351351621621621,5.000000999999999,0.3125000624999999,16.0,3.6395228541529816,1.808990929280578,0.25,8.41639660022877,2.0,4.183291523961336,8.802060429484915e-05,1e-09,0.9998751
2,128,1.9176666666666669,NVIDIA RTX A6000,1024,16,128,84,1800,768.0,2700,128,164.917476,0.0153383069196428,82.458738,0.644208890625,10.000002,0.0074404776785714,5.000000999999999,0.3125000624999999,0.5,1.1175870895385742,0.3178914388020833,0.25,46.93865776062012,2.0,13.351440429687498,6.599103249960682e-06,1e-09,0.99833566
2,128,3.219133333333333,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,164.917476,0.0238595885416666,82.458738,1.28841778125,10.000002,0.0057870381944444,5.000000999999999,0.3125000624999999,0.5,0.3297337928958756,0.2078331972384563,0.25,17.805624816377286,2.0,11.222992650876645,6.5315643160445175e-06,1e-09,0.99831843
2,128,2.005066666666667,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,164.917476,0.0153383069196428,82.458738,0.644208890625,10.000002,0.0074404776785714,5.000000999999999,0.3125000624999999,0.5,1.1919284915779396,0.3414389527874228,0.25,50.06099664627347,2.0,14.34043601707176,6.529087403352392e-06,1e-09,0.99831784
2,128,1.5166000000000002,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,164.917476,0.0140045411005434,82.458738,0.644208890625,10.000002,0.0067934796195652,5.000000999999999,0.3125000624999999,0.5,1.3906205313667404,0.2995835548920157,0.25,63.96854444287007,2.0,13.780843525032724,5.441898210101515e-06,1e-09,0.9979824
6561,16384,571.3144,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,29246460.343326,1215.3615501714594,156016.78280999998,1218.8811157031248,1049760.2099519998,348.9894315,5600.001119999999,350.00006999999994,209952.0,261455.6040082659,62940.414076143534,1120.0,262212.75329589844,8960.0,63122.68322222596,0.0011701544028005,0.0023372765,0.99740005
2,128,1.8921333333333337,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,164.917476,0.0097607407670454,82.458738,0.644208890625,10.000002,0.0047348494318181,5.000000999999999,0.3125000624999999,0.5,0.1774792034315127,0.0838808035674054,0.25,11.713627426479842,2.0,5.536133035448759,4.186326302073131e-06,1e-09,0.9973787
2,128,2.116133333333334,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,164.917476,0.0097607407670454,82.458738,0.644208890625,10.000002,0.0047348494318181,5.000000999999999,0.3125000624999999,0.5,0.2603009257802712,0.0989356008516687,0.25,17.1798611014979,2.0,6.529749656210141,3.743189247855825e-06,1e-09,0.9970692
2,128,2.1268,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,164.917476,0.0097607407670454,82.458738,0.644208890625,10.000002,0.0047348494318181,5.000000999999999,0.3125000624999999,0.5,0.2603009257802712,0.0989356008516687,0.25,17.1798611014979,2.0,6.529749656210141,3.724415807956857e-06,1e-09,0.99705446
1,128,2.918200000000001,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,82.458738,0.0119297942708333,82.458738,1.28841778125,5.000000999999999,0.0028935190972222,5.000000999999999,0.3125000624999999,0.25,0.1648668964479378,0.1039165986192281,0.25,17.805624816377286,2.0,11.222992650876645,3.6025591817883345e-06,1e-09,0.9969551
1,128,1.947666666666667,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,82.458738,0.0082590883413461,82.458738,0.644208890625,5.000000999999999,0.0040064110576923,5.000000999999999,0.3125000624999999,0.25,0.108458719075113,0.0494958593029902,0.25,8.459780087858812,2.0,3.860677025633242,3.4412760677729714e-06,1e-09,0.9968128
2,128,1.5659333333333336,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,164.917476,0.0090733646566901,82.458738,0.644208890625,10.000002,0.0044014093309859,5.000000999999999,0.3125000624999999,0.5,1.2442469596862793,0.1888202784221986,0.25,88.34153413772583,2.0,13.406239767976096,3.435108748234567e-06,1e-09,0.9968071
2,128,1.5934,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,164.917476,0.0090733646566901,82.458738,0.644208890625,10.000002,0.0044014093309859,5.000000999999999,0.3125000624999999,0.5,1.374065525040946,0.2102575746282594,0.25,97.55865227790716,2.0,14.928287798606425,3.396231842816492e-06,1e-09,0.9967707
2,128,2.1332000000000004,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,164.917476,0.0087055255489864,82.458738,0.644208890625,10.000002,0.0042229738175675,5.000000999999999,0.3125000624999999,0.5,0.1137350891922806,0.056530966540018,0.25,8.41639660022877,2.0,4.183291523961336,3.3118103094952786e-06,1e-09,0.9966886
1,128,1.9177333333333333,NVIDIA RTX A6000,1024,16,128,84,1800,768.0,2700,128,82.458738,0.0076691534598214,82.458738,0.644208890625,5.000000999999999,0.0037202388392857,5.000000999999999,0.3125000624999999,0.25,0.5587935447692871,0.1589457194010416,0.25,46.93865776062012,2.0,13.351440429687498,3.2994369218021102e-06,1e-09,0.9966762
1,128,2.005133333333333,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,82.458738,0.0076691534598214,82.458738,0.644208890625,5.000000999999999,0.0037202388392857,5.000000999999999,0.3125000624999999,0.25,0.5959642457889698,0.1707194763937114,0.25,50.06099664627347,2.0,14.34043601707176,3.264435162137624e-06,1e-09,0.9966407
1,128,1.5018,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,82.458738,0.0070022705502717,82.458738,0.644208890625,5.000000999999999,0.0033967398097826,5.000000999999999,0.3125000624999999,0.25,0.6953102656833702,0.1497917774460078,0.25,63.96854444287007,2.0,13.780843525032724,2.747763625462764e-06,1e-09,0.9960113
2,128,1.6190666666666669,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,164.917476,0.0068532860704787,82.458738,0.644208890625,10.000002,0.0033244687499999,5.000000999999999,0.3125000624999999,0.5,0.6226556641714913,0.1498923898704074,0.25,58.52963243212019,2.0,14.089884647818296,2.6864044338298527e-06,1e-09,0.99592054
1,128,1.964666666666667,NVIDIA H200,4096,16,128,132,1830,4916.7,10403,128,82.458738,0.0048803703835227,82.458738,0.644208890625,5.000000999999999,0.002367424715909,5.000000999999999,0.3125000624999999,0.25,0.0887396017157563,0.0419404017837027,0.25,11.713627426479842,2.0,5.536133035448759,2.0158858687723043e-06,1e-09,0.9945703
1,128,2.1972000000000005,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,82.458738,0.0048803703835227,82.458738,0.644208890625,5.000000999999999,0.002367424715909,5.000000999999999,0.3125000624999999,0.25,0.1301504628901356,0.0494678004258343,0.25,17.1798611014979,2.0,6.529749656210141,1.8025413117519208e-06,1e-09,0.9939312
1,128,2.2015333333333333,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,82.458738,0.0048803703835227,82.458738,0.644208890625,5.000000999999999,0.002367424715909,5.000000999999999,0.3125000624999999,0.25,0.1301504628901356,0.0494678004258343,0.25,17.1798611014979,2.0,6.529749656210141,1.7989933244320569e-06,1e-09,0.99391925
1,128,1.5550666666666666,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,82.458738,0.004536682328345,82.458738,0.644208890625,5.000000999999999,0.0022007046654929,5.000000999999999,0.3125000624999999,0.25,0.6221234798431396,0.0944101392110993,0.25,88.34153413772583,2.0,13.406239767976096,1.7295564903387156e-06,1e-09,0.99367654
1,128,1.5828666666666669,NVIDIA L40,512,16,128,142,2490,864.096,5647,128,82.458738,0.004536682328345,82.458738,0.644208890625,5.000000999999999,0.0022007046654929,5.000000999999999,0.3125000624999999,0.25,0.687032762520473,0.1051287873141297,0.25,97.55865227790716,2.0,14.928287798606425,1.7094161916176756e-06,1e-09,0.99360245
1,128,2.3273333333333337,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,82.458738,0.0043527627744932,82.458738,0.644208890625,5.000000999999999,0.0021114869087837,5.000000999999999,0.3125000624999999,0.25,0.0568675445961403,0.028265483270009,0.25,8.41639660022877,2.0,4.183291523961336,1.5177786634664844e-06,1e-09,0.9928
1,128,1.6254666666666668,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,82.458738,0.0034266430352393,82.458738,0.644208890625,5.000000999999999,0.0016622343749999,5.000000999999999,0.3125000624999999,0.25,0.3113278320857456,0.0749461949352037,0.25,58.52963243212019,2.0,14.089884647818296,1.337913585431708e-06,1e-09,0.99183923
6177,16384,536.6874,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,27534733.354782,1144.229278373587,147101.53807799998,1149.2307662343749,988320.197664,328.56389549999994,5280.001055999999,330.00006599999995,197664.0,246153.2184055873,59256.65870268841,1056.0,247229.16739327568,8448.0,59515.67275238448,0.00117274747321,0.002277178,0.9417382
5985,16384,519.0431333333333,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,26678869.86051,1108.6631424746508,142643.915712,1114.4055915,957600.19152,318.3511275,5120.001023999999,320.00006399999995,191520.0,238502.02560424805,57414.78101596084,1024.0,239737.3744419643,8192.0,57712.167517463735,0.0011749219264156,0.0022527045,0.91731495
26625,128,31.082600000000003,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,2195463.89925,91.234370813248,11709.140796,91.47766246875,133125.02662499997,44.25699023437499,710.0001419999999,44.37500887499999,6656.25,8289.103529282978,1995.442440149798,35.5,8311.207805361068,284.0,2000.7636199901976,0.0018628522403528,0.0035002953,0.8789931
